,ticker,name,slug,marketcap,sector,category,tagline,desc,symbol
122,DENT,Dent,dent,437773627.3834121,Data Management,Services,Tokenizing the Mobile Data Industry,,DENT
123,RLC,iExec RLC,iexec-rlc,437550693.1589383,Shared Compute,Services,Decentralized cloud computing,iExec is a decentralized cloud computing platform and data marketplace built on the Ethereum blockchain.,RLC
124,RENBTC,renBTC,renbtc,431184502.1224407,Currencies,Payments,,,RENBTC
125,AMP,HyperSpace,hyperspace,4300358.468984712,,,,,AMP
126,REEF,Reef Finance,reef-finance,413738919.0631548,Asset Management,Financial,,,REEF
127,NPXS,Pundi X,pundi-x,393983491.9270017,Payment Platforms,Payments,A platform focused on simplifying crypto assets to accelerate adoption,Pundi X is a consumer-facing product focused on making digital asset buys and sells as easy and simple as possible. ,NPXS
128,KNC,Kyber Network,kyber-network,384850674.7032243,Decentralized Exchanges,Financial,Decentralized exchange with instant on-chain execution,Kyber Network is an Ethereum based decentralized exchange focused on rapid onchain execution of transactions. ,KNC
129,OGN,OGNCoin,ogncoin,,,,,,OGN
130,HEDG,HedgeTrade,hedgetrade,367440367.7615369,,,,,HEDG
131,GNT,Golem,golem,366262935.05700594,Shared Compute,Services,Peer-to-peer decentralized computation network,Golem is a peer-to-peer decentralized computation network that enables a marketplace for computing power.,GNT
132,XVS,Vsync,vsync,,,,,,XVS
133,SNT,Status,status,352049597.0093488,Application Development,Infrastructure,Mobile Ethereum client,"Status is a mobile operating system that combines a decentralized browser and private messenger for the Ethereum network. 
",SNT
134,WRX,WazirX,wazirx,350900664.935734,Centralized Exchanges,Financial,,,WRX
135,VTHO,VeThor Token,vethor-token,333152114.7307134,Smart Contract Platforms,Infrastructure,,"VeThor Token (VTHO) is the secondary token within VeChain's two token system. VeChain is a smart contract platform that supports the development and execution of smart contracts. Users stake the network's native token, VET, to secure the platform, and holding VET allows users to access the network for free. VTHO is used to pay the gas fees of transactions on the network.",VTHO
136,CFX,Conflux Network,conflux-network,321930187.3293237,Smart Contract Platforms,Infrastructure,,"Conflux Network is a smart contract platform that features a Turing-complete state machine built atop a high-throughput consensus protocol. Conflux reaches an agreement on transaction validator based on the total order of blocks organized in a Tree-Graph, a novel consensus mechanism that scaling benefits relative to existing blockchains. It also uses Proof-of-Work (PoW) to supplement its Tree-Graph consensus protocol. Conflux has a native token called CFX that serves as the reward for network miners and as a means for paying transaction fees.",CFX
137,CELR,Celer Network,celer-network,318251141.94174606,Scaling,Infrastructure,Internet scale for blockchains,"Bringing interactive, secure and low-cost applications to every blockchain ",CELR
138,IOTX,IoTeX,iotex,314828466.8982326,IoT,Services,Blockchain for IoT,,IOTX
139,REP,Augur,augur,304771434.5678693,Prediction Markets,Financial,Decentralized prediction markets,Augur is a decentralized prediction market project aiming to use “The Wisdom of the Crowds” to create an accurate forecasting platform.,REP
140,STORJ,Storj,storj,304199263.25958604,File Storage,Services,Decentralized cloud data storage,"Storj uses blockchain technology and peer-to-peer protocols to provide decentralized, secure, private, and encrypted cloud storage.",STORJ
141,TUSD,TrueUSD,trueusd,297372855.5832804,Stablecoins,Payments,TrustToken's stablecoin back 1-for-1 with U.S. Dollars,"TrueUSD is a fiat-collateralized stablecoin issued by the TrustToken platform that keeps USD funds in third party escrow accounts without direct access by TrustToken. TrueUSD is an <a href=""https://messari.io/article/erc-20"">ERC-20</a> token issued on the Ethereum and corresponds on a 1:1 basis with US Dollars sitting in bank accounts. TrueUSD is the only stablecoin offering real time audits.",TUSD
142,GNO,Gnosis,gnosis,294448207.15901595,Prediction Markets,Financial,Decentralized prediction markets,"Gnosis builds new market mechanisms for open finance with product lines to create, trade, and hold crypto assets.",GNO
143,OCEAN,,ocean,,,,,,OCEAN
144,ONG,Ontology Gas,ontology-gas,292829929.7079232,Smart Contract Platforms,Infrastructure,,"Ontology is a high-performance public blockchain that provides a platform for smart contract creation and decentralized application deployment. Whereas other smart contract platforms like Ethereum use a single asset to both help secure the network and pay for transactions, Ontology features a two token model. ONT allows owners to contribute to Ontology's Proof-of-Stake (PoS) security system and participate in the network's on-chain governance protocol. ONG, on the other hand, is used to pay any transaction fees, such as when a user transfers ONT to another address, deploys a contract, or interacts with an application. Ontology users can earn ONG by staking ONT (locking up the token) on the network.",ONG
145,EWT,Energy Web,energy-web,288296300.6230014,Energy,Infrastructure,,"Energy Web Chain is an open-source, scalable blockchain platform specifically designed for the energy sector’s regulatory, operational, and market needs.",EWT
146,AXS,Axie Infinity,axie-infinity,279472706.2760856,Gaming,Media and Entertainment,Join the blockchain gaming play to earn revolution with Axie Infinity!,,AXS
147,XIN,Mixin,mixin,277838189.3957839,Decentralized Exchanges,Financial,Peer-to-peer transactional network for digital assets,Mixin is a blockchain network that leverages an encrypted messaging system to enable instant peer-to-peer transfers of cryptoassets.,XIN
148,KAVA,Kava,kava,275069657.7732996,Lending,Financial,,Kava is a cross-chain DeFi platform which supports multiple applications and services for cryptocurrency users. Kava's blockchain provides a safe and secure environment for DeFi apps and services to run.,KAVA
149,OXT,Orchid,orchid,273269882.4791655,Data Management,Services,,"Orchid aims to serve a privacy-preserving role in Ethereum’s web3 stack. It is an incentivized peer-to-peer privacy network and decentralized VPN application that enables private access to the Internet. Users pay Orchid node providers in exchange for bandwidth. These providers stake Orchid tokens, OXT, to sell bandwidth on the Orchid Network. Providers receive user requests for traffic in proportion to their stake weight.",OXT
150,ALCX,Alchemix,alchemix,271042030.6204311,Decentralized Exchanges,Financial,,,ALCX
151,CVC,Civic,civic,265365133.1289052,Identity,Services,Digital identity ecosystem,Civic is a digital identity company. Civic is helping businesses and individuals control and protect their personal information with blockchain-based identity verification solutions. ,CVC
152,INJ,Injective Protocol,injective-protocol,262478441.36231366,Derivatives,Financial,,,INJ
153,SRM,Serum,serum,258474178.26269275,Decentralized Exchanges,Financial,,"Serum is a decentralized exchange (DEX) and ecosystem built on Solana that aims to bring speed and low transaction costs to decentralized finance. It was launched by the Serum Foundation, a consortium of partners including FTX, Alameda Research, and the Solana Foundation. It chose Solana over Ethereum due to its cost-efficiencies and scalability. Serum has also integrated a cross-chain gateway between its exchange and the Ethereum network through a bridge called Wormhole. This bridge will provide an entry point for current DeFi users to start trading on Serum.

Serum also introduces two new tokens: a discount and staking token with limited governance capabilities called Serum (SRM) and a similar second token that allows for even steeper trading discounts dubbed MegaSerum (MSRM). One MSRM is equal to 1 million SRM stacked together.",SRM
154,ARDR,Ardor,ardor,255421831.9320548,Smart Contract Platforms,Infrastructure,A blockchain-as-a-service platform ,"Ardor offers a live multi-chain “blockchain as a service” platform based on a revolutionary parent/child chain architecture. This architecture, in combination with 250+ APIs and lightweight smart contracts coded in Java, allows businesses to launch custom blockchains (“child chains”). Each child chain on the Ardor platform can interface with off-chain databases while leveraging the Ardor parent chain’s decentralized network of nodes for energy-efficient proof of stake security. ",ARDR
155,RAY,Raydium,raydium,255238550.89555022,Decentralized Exchanges,Financial,,"Raydium is an automated market maker (AMM) built on the Solana blockchain that uses the central order book of the Serum decentralized exchange (DEX) to fulfill trades. Raydium's swap feature allows users to exchange between tokens through Serum, while its UI also allows for other trading features like limit orders. The exchange also features a token called RAY that will allow holders to claim 0.03% of trading fees.",RAY
156,NKN,NKN,nkn,245254066.42768073,IoT,Infrastructure,Network for decentralized internet,NKN is a public blockchain that aims to use economic incentives to motivate Internet users to share network connections and utilize unused bandwidth. NKN aims to be a network for building decentralized applications in a way that enhances peer-to-peer data transmission and connectivity.,NKN
157,CTSI,Cartesi,cartesi,244371204.79687124,Smart Contract Platforms,Infrastructure,,"Cartesi is a Layer-2 platform for the development of smart contracts and decentralized applications (dApps). It intends to solve the problem of scalability and high fees on blockchains through two pieces of infrastructure. The first is Descartes Rollups, which is a variant of an optimistic rollup. The second is Noether, a sidechain that provides data availability to applications. When combined, these products help Cartesi-based apps scale through both on-chain and off-chain components. Intensive and complex computations are handled off-chain, while Cartesi's rollup solution leverages underlying blockchain components for security and finalizing transactions. Cartesi also supports a Linux runtime environment for writing smart contracts. It intends to enhance smart contract programming by allowing developers to code with more commonly used software stacks and run them on a Linux OS.",CTSI
158,WAXP,WAX,wax,242060937.41055766,Collectibles,Media and Entertainment,Global decentralized marketplace for virtual assets,"WAX is a purpose-built blockchain and protocol token designed to make e-commerce transactions faster, easier, and safer. The WAX Blockchain uses Delegated Proof of Stake (DPoS) as its consensus mechanism and is backward compatible with <a href=""https://messari.io/asset/eos"">EOS</a>. The custom features and incentive mechanisms developed by WAX are designed to optimize the blockchain's usability in e-commerce, and encourage voting on guilds and proposals.

WAX has created a suite of blockchain-based tools upon which dApps, marketplaces, and native non-fungible tokens (NFTs) are built. These tools include services to support e-commerce operations such as the WAX Cloud Wallet, SSO and OAUTH, a native RNG service, and a developer portal. The resulting technology represents a blockchain architecture with 500 millisecond block times, no fees for customers, and leverages voting rewards to incentivize participation in the selection of block producers and proposals.",WAXP
159,STMX,StormX,storm,241266195.60076162,Rewards,Payments,Microtask platform,StormX is a mobile microtask platform that rewards workers with the STMX token.,STMX
160,TRIBE,Tribe,tribe,237358194.25264066,Stablecoins,Financial,,,TRIBE
161,ALPHA,Alpha Finance,alpha-finance,236844709.1987498,Asset Management,Financial,,"Alpha Finance Lab is a research lab and a decentralized asset management platform across Binance Smart Chain and Ethereum. Alpha Homora, its most successful product to date, allows for leveraged yield farming and lending on Ethereum.",ALPHA
162,FUN,FunFair,funfair,235843654.7233326,Gambling,Media and Entertainment,Blockchain based casino infrastructure.,FunFair is building a decentralized casino platform for transparent and fair online gambling.,FUN
163,NMR,Numeraire,numeraire,234381974.43386826,Asset Management,Financial,Artificial Intelligence Hedge Fund,Numerai is building a blockchain based hedge fund using crowdsourced predictions.,NMR
164,STEEM,Steem,steem,234128474.72370517,Content Creation and Distribution,Media and Entertainment,,Steem is a blockchain database that supports community building and social interaction with a built-in reward system to incentivize individuals making subjective contributions. ,STEEM
165,AGI,SingularityNET,singularitynet,232541837.1453205,AI,Services,Marketplace to buy and sell AI solutions,,AGI
166,SAND,The Sandbox,thesandbox,232427053.68843353,Gaming,Media and Entertainment,A community-driven platform where creators can monetize digital assets and gaming experiences,"The Sandbox is a virtual world where players can build, own, and monetize their gaming experiences using non-fungible tokens(NFTs) and $SAND, the platform’s utility token. Players can create digital assets in the form of NFTs, upload them to the marketplace, and integrate into games with The Sandbox Game Maker. The Sandbox virtual world is made up of LAND – digital pieces of real estate – in The Sandbox metaverse that players can buy to build experiences on top of. ",SAND
167,FET,Fetch.ai,fetch-ai,230040696.6855346,AI,Infrastructure,Artificial intelligence for blockchains,"Fetch.ai is building a decentralized machine learning platform based on a distributed ledger, that enables anyone to share or exchange data. ",FET
168,BAL,Balancer,balancer,223073549.20154333,Decentralized Exchanges,Financial,Self-balancing portfolio management tool ,"Balancer is a non-custodial automated portfolio manager, liquidity provider, and price sensor. The big idea of Balancer is, it is a new financial primitive that combines asset management and decentralized exchange. In traditional finance, this is similar to combining Fidelity asset management and NASDAQ’s exchange, then distribute NASDAQ’s trading profits to Fidelity’s asset holders.",BAL
169,KMD,Komodo,komodo,220546973.28724834,Interoperability,Infrastructure,A privacy-focused cryptocurrency protocol with decentralized exchange capabilities,Komodo is smart chain platform built with end-to-end blockchain development from a custom smart chain to an open API.,KMD
170,NU,NuCypher,nucypher,214105465.11574322,Data Management,Infrastructure,Infrastructure for privacy-preserving applications,"NuCypher is a data encryption and protection layer for <a href=""https://messari.io/asset/ethereum"">Ethereum</a> (and eventually other networks) and <a href=""https://messari.io/resource/decentralized-applications-dapps"">decentralized applications</a> (dApps) that does not rely on a central service provider. The protocol, which the team calls a decentralized key management system (KMS), aims to give developers the ability to store, share, and manage private data on public blockchains. Developers receive this encryption service via a network of NuCypher nodes in exchange for a fee (paid for in ETH). Participants can only spin up a node by staking NyCypher's token, NU, on the network as collateral.",NU
171,MED,MediBloc,medibloc-qrc20,213919556.28178227,,,,,MED
172,USDN,Neutrino Dollar,neutrino-dollar,213233711.30778426,Stablecoins,Payments,,"Neutrino Dollar (USDN) is the first synthetic asset issued through the Neutrino Protocol, an algorithmic lending protocol built on the Waves blockchain that allows for the creation of crypto-collateralized stablecoins tied to a specific real-world asset. USDN is fully collateralized by WAVES tokens and pegged 1:1 to the US Dollar.",USDN
173,WOO,Wootrade Network,wootrade-network,213131118.39439723,Decentralized Exchanges,Financial,,,WOO
174,ORN,Orion Protocol,orion-protocol,208065498.5543737,,,,,ORN
175,ORBS,Orbs,orbs,207100944.56184936,Enterprise and BaaS,Infrastructure,Enterprise blockchain,Orbs is a public blockchain infrastructure designed for enterprises to facilitate digital trust at scale. ,ORBS
176,SXP,Swipe,swipe,206884632.50797987,Payment Platforms,Financial,,"Swipe is a payment network, debit card, and mobile wallet used to buy, sell and transfer cryptocurrency. ",SXP
177,PERP,Perpetual Protocol,perpetual-protocol,204121731.71127665,Derivatives,Financial,Decentralized perpetual contracts for any asset,Perpetual protocol is a decentralized protocol to trade perpetual contracts for every asset powered by a Virtual Automated Market Maker (vAMM). The project aims to create novel financial instruments by democratizing Futures and other crypto-asset derivatives.,PERP
178,UBT,Unibright,unibright-1,203268119.9020073,,,,,UBT
179,DAWN,Dawn,dawn,200097563.24216905,Rewards,Media and Entertainment,,"Dawn is a purpose-built blockchain geared towards a decentralized esports platform utilizing the power of smart contracts. It is built by a community of gamers, marketers, designers, streamers, and engineers looking to bridge the gap between amateurs and professionals while evolving competitive gaming. ",DAWN
180,TKO,Tokocrypto,tokocrypto,198744978.33304843,,,,,TKO
181,POLY,Polymath,polymath,197331248.09170955,Asset Management,Financial,Securities token issuance platform,"Polymath is a decentralized platform that makes it easy to create and manage security tokens. The Polymath ST-20 standard embeds regulatory requirements into the tokens themselves, restricting trading to verified participants only, simplifying the complex technical challenges of creating a security token. ",POLY
182,ETN,Electroneum,electroneum,196054061.63860178,Payment Platforms,Payments,"A cryptocurrency for lightweight, mobile mining ","Electroneum is a cryptocurrency focused on mobile payments, mining, and storage. ",ETN
183,ANT,Aragon Network,aragon-network,194845553.7884545,Misc,Infrastructure,Blockchain-based governance & organizations,"The Aragon Network (Aragon) is a decentralized autonomous organization (DAO) whose goal is to act as a “digital jurisdiction” that aims to make it possible for organizations, entrepreneurs and investors to do business without a legal nexus.",ANT
184,HIVE,Hive,hive,193355012.07893458,Content Creation and Distribution,Media and Entertainment,A community-run content creation platform that forked from Steem,"Hive is a platform for creating decentralized applications (dApps), specializing in content distribution apps, that originated from a contentious chain split with Steem. As a result of the fork, the Hive network contains all of the content previously deployed to Steem. The split arose from a protracted battle between the former Steem community and the Tron Foundation after the latter acquired popular Steem-based app, Steemit Inc., including its STEEM holdings. Hive intentionally did not distribute HIVE tokens to Steem accounts associated with Tron so their perceived adversary could not have a stake in the new network.",HIVE
185,MCO,Crypto.com,crypto-com,193183736.8637313,Payment Platforms,Payments,"Buy, sell, and pay with crypto","Crypto.com is on a mission to accelerate the world's transition to cryptocurrency. The project's goal is to democratize blockchain technology by designing beautiful, simple and useful financial services that have a lasting, positive impact on people's lives while focusing on the accessibility and spend-ability of cryptocurrencies.",MCO
186,MAID,Maidsafe,maidsafe,190038523.33683738,Data Management,Services,,,MAID
187,BAND,Band Protocol,band-protocol,189481299.00612673,Data Management,Infrastructure,,"Band Protocol is a decentralized cross-chain data oracle platform that aggregates and connects real-world data and APIs to smart contracts. The protocol runs on BandChain, an independent Delegated Proof-of-Stake (DPoS) blockchain built using the Cosmos SDK. BandChain is custom-built for oracle computations including settlement, data sourcing, and aggregation. Validators stake the network's native token, BAND, the secure the network and earn a portion of the fees generated by the protocol.",BAND
188,DIME,Dimecoin,dimecoin,187856523.64710763,,,,,DIME
189,ANC,Anoncoin,anoncoin,,,,,,ANC
190,BTS,BitShares,bitshares,185218049.0337743,Smart Contract Platforms,Financial,Open-source financial management platform,BitShares is a DPos blockchain that allows users to run DApps and create tokens. ,BTS
191,LINA,LINA,lina,0,,,,,LINA
192,UTK,UTRUST,utrust,175528667.00008026,Payment Platforms,Payments,Payment platform that empowers buyers to pay with cryptocurrencies while providing a purchase protection mechanism,,UTK
193,ZKS,ZKS,zks,174341639.07014284,Decentralized Exchanges,Financial,,"ZKSwap is an Ethereum compatible Layer-2 decentralized exchange (DEX) that utilizes zero-knowledge rollups (zkRollups) and an automated market maker. zkRollups, in combination with continuously generated zero-knowledge proofs, allow users to exchange tokens without having all transaction data listed on the main Ethereum chain. ZKSwap’s AMM on Layer-2 provides the swapping function of Layer-1 DEXs with lower gas costs, instantaneous confirmation, and less transactional bottlenecking.",ZKS
194,WAN,Wanchain,wanchain,173962023.63490632,Interoperability,Infrastructure,Cross-chain smart contract and financial platform,"Wanchain aims to create a new financial services industry centered around digital assets using cross-chain interoperability, privacy, and smart contract functionality",WAN
195,UQC,Uquid Coin,uquid-coin,173062469.85045284,,,,,UQC
196,ABBC,ABBC Coin,abbc-coin,171558443.80451578,Payment Platforms,Payments,,,ABBC
197,BORA,BORA,bora,170672261.28819945,,,,,BORA
198,RPL,Rocket Pool,rocket-pool,168261818.01593643,Derivatives,Financial,Decentralized Proof-of-Stake Provider for Ethereum 2.0,,RPL
199,AMPL,Ampleforth,ampleforth,167795641.97954547,Currencies,Payments,An algorithmic coin for stable purchasing power,Ampleforth is an Ethereum-based token designed to maintain stable purchasing power ,AMPL
200,MTL,Metal,metal,165521537.60287693,Payment Platforms,Payments,A reward incentivized payments service cryptocurrency application,"Metal Pay (Metallicus, Inc.) develops blockchain payment products for digital assets. The company was founded in 2016, with its headquarters in San Francisco, California. Metal's flagship product, Metal Pay, is an FDIC insured bank account which allows for the purchase, sale, and P2P transfer of over 40 cryptocurrencies. Metal Pay allows people to instantly send money to friends, family and businesses with just a phone number and rewards them with some cryptocurrency for each transaction.",MTL
201,JST,JUST,just,163565266.49719745,Decentralized Exchanges,Financial,,,JST
202,ELF,ælf,aelf,161854826.18030775,Shared Compute,Services,Decentralized Cloud Computing Blockchain Network,ælf looks to permit scalability and extensibility through a multi-layer branching structure formed by a main chain and multiple levels of side-chains.,ELF
203,SYS,Syscoin,syscoin,161423782.51801392,Scaling,Infrastructure,"A public, decentralized development platform","Syscoin Platform (SYS) provides a public decentralized blockchain, a development platform, and a token platform offering high throughput with cross-chain interoperability for tokenized assets, enabling things like Ethereum smart contracts for Syscoin Platform Tokens (SPTs) and scalability solutions for other blockchains and DLTs. Syscoin Platform strives to offer low fees, security through merge mining, easy token creation, and a design that minimizes blockchain bloat.",SYS
204,XHV,Haven Protocol,haven-protocol,161284167.74603698,,,,,XHV
205,MONA,Monavale,monavale,4963721.560716607,Virtual and Augmented Reality,Media and Entertainment,The Digital Fashion Engine,"DigitalLAX is building an optimised architecture for taking digital fashion into gaming, VR and other live 3D content environments.",MONA
206,ARK,Ark,ark,159201493.30199796,Interoperability,Infrastructure,Interlinked blockchain network,,ARK
207,POLS,Polkastarter,polkastarter,157477037.75407234,Crowdfunding,Financial,,,POLS
208,DODO,DODO,dodo,157427374.67445755,Decentralized Exchanges,Financial,,"DODO is a decentralized exchange (DEX) that uses the Proactive Market Maker (PMM) algorithm built on Ethereum and Binance Smart Chain (BSC). Focused on making DeFi liquidity more accessible, DODO’s permissionless product suite consists of SmartTrade trading and aggregation, Crowdpooling/Initial DEX Offerings (IDOs), and liquidity pools and mining.",DODO
209,DMD,Diamond,diamond,155784735.63860327,,,,,DMD
210,MLN,Enzyme Finance,enzyme-finance,155775343.19357342,Asset Management,Financial,Decentralized crypto asset management platform,"Enzyme Finance is an open-source protocol that enables the setup and management of pooled digital assets on-chain. By automating the back and middle office processes through the use of smart contracts, Melon enables asset managers and fund sponsors to create their own tokenized investment vehicles.

The project rebranded from Melon Protocol in Dec. 2020.

",MLN
211,RIF,RIF Token,rif-token,154985780.06959203,Application Development,Infrastructure,,,RIF
212,AVA,Travala.com,travala-com,154917674.25634098,Payment Platforms,Payments,,,AVA
213,HXRO,Hxro,hxro-games,154608047.21199033,Centralized Exchanges,Financial,Real-time crypto trading chaos as a game,"Hxro is a cryptocurrency platform that offers perpetual, time-based digital derivatives markets. Hxro provides a simplified way to interact with the market, giving traders an alternative way to express a view on price, hedge risk and trade digital assets.

",HXRO
214,KEEP,Keep Network,keep-network,152187767.43691778,Interoperability,Infrastructure,A privacy layer for Ethereum,"The Keep Network is a privacy layer for blockchains that allows users and applications to store data privately. It features off-chain containers for private data called keeps. The network randomly assigns keeps to a system of participants, called signers, that help store and manage these data containers. Keep's core application, the Random Beacon, provides this source of randomness and aims to ensure an individual signer cannot decode the information stored in the network. Each participant stakes KEEP tokens to act as a signer in exchange for a service fee.",KEEP
215,XOR,Sora,sora,151112024.71417585,Smart Contract Platforms,Infrastructure,,,XOR
216,AUDIO,Audius,audius,149936541.91820604,Content Creation and Distribution,Media and Entertainment,A Decentralized Protocol for Audio Content,"Audius is a fully decentralized music streaming protocol built with public blockchain infrastructure and other decentralized technologies. Audius allows artists to distribute to and get paid directly from their fans, and is comprised of the following components:

An efficient token economy powered by the Audius platform token ($AUDIO), 3rd-party stablecoins, and artist tokens
A decentralized storage solution and ledger for sharing audio and metadata
A unique track encryption scheme paired with a programmable mechanism to unlock user-specific proxy re-encryption keys for content
A discovery protocol for users to efficiently query metadata
A decentralized governance protocol, whereby artists, node operators, and fans are individually and collectively enfranchised in decision making about protocol changes and upgrades",AUDIO
217,RFOX,RedFOX Labs,redfox-labs,149000799.6482637,Tokenization,Media and Entertainment,,,RFOX
218,TWT,Trust Wallet Token,trust-wallet-token,147781954.8665788,Payment Platforms,Financial,Official wallet of Binance Smart Chain,"The Trust Wallet mobile app is a multi-currency crypto wallet that gives users access to a wide range of digital assets, and has a built-in DEX (for android users). Trust Wallet joined the Binance ecosystem in 2018 and is now the official crypto wallet of Binance Smart Chain (BSC).

Trust Wallet Token (TWT) is a utility and governance token, native to the Trust Wallet and available on both the BEP-2 (Binance Chain) and BEP-20 (Binance Smart Chain) standards.

Trust Wallet’s core modules are open-source and available for any developer to build on. The digital wallet mobile app has fiat on-boarding, allowing users to purchase crypto with credit cards. Trust Wallet has integrated with other DEXs such as Pancake Swap, Uniswap or Binance DEX so that users can buy, hold, and exchange their crypto-assets using a single interface. Trust Wallet supports buying, exchanging, and staking 160,000 crypto assets on 40 blockchains.

The project’s overarching goal is to become the interface to all crypto by making it easier for users to access crypto services like dapps.",TWT
219,META,Metadium,metadium,147162501.60955966,Identity,Services,Identity protocol,,META
220,SUSD,Synthetix USD,synthetix-usd,143286109.9660696,Stablecoins,Financial,A dollar-pegged stablecoin on the Synthetix Network,Synthetix USD is a dollar-pegged stablecoin created on the Synthetix Network platform with the native SNX token. ,SUSD
221,WNXM,Wrapped Nexus Mutual,wrapped-nexus-mutual,142697654.2473359,Misc,Financial,,,WNXM
222,ALICE,Alice,alice,139599118.64167395,Gaming,Media and Entertainment,,,ALICE
223,QUICK,QuickSwap,quickswap,138984486.29037336,Decentralized Exchanges,Financial,,"QuickSwap is a fork of Uniswap that runs on the Polygon network (formerly Matic Network), a Layer-2 scaling solution for Ethereum. Polygon features lower transaction fees compared to the Ethereum mainnet, enabling QuickSwap to facilitate token swaps at a lower cost relative to exchanges like Uniswap v2. QuickSwap's token, QUICK, gives users governance rights over the protocol.",QUICK
224,EDC,EducoinV,educoinv,,,,,,EDC
225,RDD,ReddCoin,reddcoin,138025374.7955954,Currencies,Payments,A cryptocurrency for social network interaction. ,Reddcoin is a cryptocurrency for online social platforms built from a code base fork of Litecoin. ,RDD
226,ROSE,Oasis Network,oasis-labs,137581282.0345324,Smart Contract Platforms,Infrastructure,Privacy preserving cloud computing platform ,"Oasis Network is a privacy-focused smart contract platform for open finance built using the Cosmos SDK. The project prioritizes applications and use-cases that promote data privacy and user confidentiality. It aims to achieve this goal by separating its consensus layer from its contract execution layer while providing a built-in interface connecting the two for privacy-preserving computation. The consensus layer acts as a hub that uses a Proof-of-Stake (PoS) mechanism to secure the network and reach a consensus on transaction validity. The execution layer consists of multiple, parallel runtimes (called ParaTimes) for specialized computation needs that each plug into the consensus layer.",ROSE
227,QKC,Quarkchain,quarkchain,132515127.37674129,Smart Contract Platforms,Infrastructure,High capacity peer-to-peer transfers,QuarkChain focuses on high throughput transactions and Turing complete smart contracts by combining a two-layer blockchain and sharding technology on top of the Ethereum Virtual Machine. ,QKC
228,TRAC,Origintrail,origintrail,132219392.89847575,Data Management,Services,Supply chain platform,,TRAC
229,POWR,Power Ledger,power-ledger,130874036.01033199,Energy,Services,Decentralized energy marketplace,Power Ledger is building a platform with the goal of creating decentralized energy markets,POWR
230,BTM,Bitcoin Minor,bitcoin-minor,,,,A virtual fork of Bitcoin,"Bitcoin Minor is a Bitcoin fork focused on CPU mining and micro-payments.
",BTM
231,TOMO,TomoChain,tomochain,127196415.92718935,Smart Contract Platforms,Infrastructure,Scalability solution for Dapps,"TomoChain is a blockchain network that uses a delegated proof of stake consensus mechanism comprised of 150 masternodes. TomoChain aims to be a public EVM-compatible blockchain with the following advantages: low transaction fee, fast confirmation time, double validation, and randomization for security guarantees.",TOMO
232,PPT,Populous,populous,126927102.3436125,Payment Platforms,Financial, A peer-to-peer invoice processing protocol,"Populous is a global, peer-to-peer invoice trading platform using a blockchain protocol. ",PPT
233,SCRT,SecretCoin,secretcoin,,,,,,SCRT
234,GUSD,Gemini Dollar,gemini-dollar,126153740.59966226,Stablecoins,Payments,Dollar backed stablecoin,"The Gemini Dollar (GUSD) is the one of the world’s first regulated <a href=""https://messari.io/article/stablecoins"">stablecoins</a>. It is issued by Gemini Trust Company LLC, a New York Trust Company. Gemini Dollars correspond on a 1:1 basis with US Dollars in order to provide a stable currency for transactions. GUSD is an <a href=""https://messari.io/article/erc-20"">ERC-20</a> and is built on and can be transferred on the Ethereum network.",GUSD
235,BADGER,Badger DAO,badger-dao,126131135.13661467,Decentralized Exchanges,Financial,,,BADGER
236,DNT,district0x,district0x,124386001.01761891,Application Development,Infrastructure,Decentralized community run marketplaces,"District0x is a platform that aims to allow developers to create decentralized marketplaces and communities, know as ""Districts."" These Districts strive to solve the coordination issues and inefficiencies seen within most distributed markets. From a structural standpoint, Districts exist on top of an open-source framework of <a href=""https://messari.io/asset/ethereum"">Ethereum</a> smart contracts and front-end libraries collectively referred to as d0xINFRA. The platform also features an <a href=""https://messari.io/article/erc-20"">ERC-20</a> token, DNT, that owners can use to access and even help govern (through a stake-weighted voting mechanism) specific communities.",DNT
237,SFP,SafePal,safepal,124343401.09197764,Wallet,Infrastructure,,,SFP
238,HNS,Handshake,handshake,122328013.29409933,Misc,Infrastructure,Decentralized certificate authority and naming,"Handshake is a decentralized naming protocol for allocating ownership rights to Top Level Domains (TLD), such as a .com or a .org, which one can use for websites, email addresses, or crypto addresses. Handshake users can purchase the rights to a TLD through an auction system, where participants submit bids in the form of HNS tokens. The winning bidder then registers the TLD under their cryptographic keys by entering the pair into Handshake's <a href=""https://messari.io/resource/proof-of-work"">Proof-of-Work</a> (PoW) blockchain, which acts as a distributed alternative to Certificate Authorities (CAs).",HNS
239,PRQ,PARSIQ,parsiq,121268407.48293452,,,,,PRQ
240,ADX,Adex,adex,120848101.40158786,Advertising,Media and Entertainment,,,ADX
241,LYXE,LUKSO,lukso,118174250.75281867,Collectibles,Infrastructure,Blockchain Infrastructure,,LYXE
242,KIN,Kin,kin,116241318.99772522,Social Media,Media and Entertainment,Social based payments for digital services,"Kin is the native cryptocurrency for the Kik social media platform and is a new way to engage, grow, and monetize digital communities. It is used by millions of consumers across an ecosystem of dozens of applications and services. Kin allows developers and users get paid for the value they create online.",KIN
243,PAXG,PAX Gold,pax-gold,114624458.46976423,,,,,PAXG
244,SWAP,TrustSwap,trustswap,113978735.25053376,,,,,SWAP
245,FRAX,FRAX,frax,111702250.70283656,Stablecoins,Payments,,,FRAX
